# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: TheGlobal.School
# Property: TheGlobal.School - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260512
# End date: 20260809
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Leaders - The New Global School,1,1,1,1,5,0,0
Ley Olimpia Puebla - The New Global School,1,1,1,0,3,0,0
Leyes Justas - The New Global School,1,1,1,0,3,0,0
Liderazgo Inteligente - Sureco & Partners,1,1,1,13,4,0,0
Liderazgo y Ecología - The New Global School,1,2,0.5,24,11,0,0
Los Objetivos del Desarrollo Humano - The New Global School,1,1,1,4,5,0,0
Maharaja Ranjit Singh - The New Global School,1,1,1,4,5,0,0
Male García - The New Global School,1,1,1,8,5,0,0
Marysela Zamora-Villalobos - Latin American Social Leaders Awards - The New Global School,1,1,1,7,7,0,0
Marzo 2023 - The New Global School,1,1,1,0,6,0,0
María Alejandra Sierra Aguilar - Latin American Leaders Awards - Nominados 2022,1,1,1,37,5,0,0
María Fernanda Gómez de la Garza - Latin American Social Leaders Awards - The New Global School,1,1,1,0,3,0,0
May 2020 - The New Global School,1,1,1,1,6,0,0
Mayo 2020 - The New Global School,1,1,1,0,4,0,0
Mayo 2022 - The New Global School,1,1,1,0,6,0,0
Menstruación Digna - Latin American Leaders Awards - Nominados 2022,1,1,1,33,7,0,0
Meteorólogos - The New Global School,1,1,1,0,3,0,0
Ministerio de Ambiente - The New Global School,1,1,1,18,5,0,0
Mujer Latina - The New Global School,1,1,1,115,8,0,0
Mujeres Auténticas - Votaciones - The New Global School,1,1,1,0,3,0,0
Mujeres Tejer y Saberes - Latin American Leaders Awards - Nominados,1,1,1,37,4,0,0
Netflix - The New Global School,1,1,1,3,5,0,0
No es Normal - Latin American Leaders Awards - Nominados 2022 - The New Global School,1,1,1,5,5,0,0
Noviembre 2019 - The New Global School,1,1,1,0,5,0,0
Octubre 2019 - The New Global School,1,1,1,3,6,0,0
Organizaciones Climáticas - The New Global School,1,1,1,3,5,0,0
Pandemic - The New Global School,1,1,1,0,3,0,0
Premiados 2022 - Latin American Leaders Awards - The New Global School,1,2,0.5,6,11,0,0
Premiados 2023 - Latin American Leaders Awards - The New Global School,1,1,1,0,3,0,0
Privacy - Vienna School of Quality & Innovation,1,1,1,0,3,0,0
Regeneración - The New Global School,1,1,1,0,3,0,0
Resolución de Conflictos - The New Global School,1,1,1,0,3,0,0
Ronel Almeyda - Latin American Social Leaders Awards - The New Global School,1,2,0.5,4.5,14,0,0
Ronny Castillo - Latin American Social Leaders Awards - The New Global School,1,1,1,0,3,0,0
Rubén Aguíñiga - Latin American Social Leaders Awards - The New Global School,1,1,1,58,9,0,0
Sambito - Curso de Liderazgo y Estrategia,1,1,1,7,5,0,0
Sarape Social - Latin American Leaders Awards - Nominados 2022,1,1,1,150,7,0,0
Sarape Social - The New Global School,1,1,1,0,3,0,0
Se firma en la ONU la 1era Declaración Global de Emprendimiento - The New Global School,1,2,0.5,34.5,8,0,0
Seguridad Pública - The New Global School,1,1,1,1,6,0,0
Septiembre 2019 - The New Global School,1,1,1,0,5,0,0
Sinaloa - The New Global School,1,1,1,6,5,0,0
Social Impact - The New Global School,1,1,1,0,2,0,0
Soluciones Climática - The New Global School,1,1,1,0,6,0,0
Sonora - The New Global School,1,1,1,0,3,0,0
Sostenibilidad - The New Global School,1,2,0.5,0,4,0,0
Space Colombia - The New Global School,1,1,1,0,3,0,0
Storytelling para Líderes Sociales - The New Global School,1,1,1,5,5,0,0
Sustainability - The New Global School,1,1,1,0,3,0,0
Sustainable Development - The New Global School,1,1,1,0,4,0,0
Tech vs Mindfulness - The New Global School,1,1,1,2,5,0,0
Terremoto - The New Global School,1,1,1,0,5,0,0
The 2025 Remote IT Hiring Checklist for companies in Germany and Austria - Vienna School of Quality & Innovation,1,1,1,0,3,0,0
The COVID-19 - The New Global School,1,1,1,2,5,0,0
The Global School for Social Leaders - The New Global School,1,1,1,0,6,0,0
The War of China and USA must be against climate change,1,1,1,0,4,0,0
The best of 2020: Purpose-Driven Stories - TheGlobal.School,1,1,1,0,3,0,0
Tips for Consultants - The New Global School,1,1,1,2,5,0,0
Tools for Consulting - The New Global School,1,1,1,0,3,0,0
Tu Escuela Global - The New Global School,1,1,1,6,5,0,0
UK - The New Global School,1,1,1,0,4,0,0
USACH - The New Global School,1,1,1,0,3,0,0
Uncategorized – Vienna School of Quality & Innovation,1,1,1,0,3,0,0
Vida Bajo el Agua - The New Global School,1,1,1,108,7,0,0
Vienna IT solutions – Vienna School of Quality & Innovation,1,1,1,0,3,0,0
Vienna.School - Vienna School of Quality & Innovation,1,1,1,0,3,0,0
Virtual Assistant - The New Global School,1,1,1,0,3,0,0
Virus - The New Global School,1,1,1,0,5,0,0
WWF - The New Global School,1,1,1,1,4,0,0
War - The New Global School,1,1,1,0,6,0,0
Web Development Wien – Vienna School of Quality & Innovation,1,1,1,0,3,0,0
Whitexicans - The New Global School,1,1,1,0,3,0,0
Óscar Javier Parra Castellanos - The New Global School,1,1,1,0,3,0,0
Campeones de nuestro planeta,0,1,0,34,2,0,0
Inteligencia Artificial Europa,0,1,0,2,2,0,0
